vrad_min,vrad_max,vrad_step,n_samples,true_mean_mps,pred_mean_mps,bias_mps,std_mps,mae_mps,median_abs_err_mps,rmse_mps,min_residual_mps,max_residual_mps,pearson_r
-16.259999999999962,13.740000000000038,0.1,30,-9.473903143468003e-14,3.789561257387201e-14,1.3263464400855204e-13,6.360022651752579,5.371259068597704,4.466903330841433,6.2531239014148525,-10.472686886091196,12.573418592492885,0.8367175166962534
-16.24999999999996,13.750000000000039,0.1,30,4.168517383125921e-14,7.579122514774402e-15,-3.410605131648481e-14,6.40919617835757,5.430704616595225,4.76192135647608,6.301470923330852,-10.465297742157077,12.681201414202746,0.8330483173789918
-16.23999999999996,13.76000000000004,0.1,30,1.5916157281026243e-13,-1.1368683772161604e-14,-1.7053025658242404e-13,6.474270312928389,5.507568257714778,4.850910255521967,6.365451297070014,-10.75852126218291,12.9298795152651,0.8333702409187534
-16.229999999999958,13.770000000000042,0.1,30,-3.410605131648481e-14,-7.579122514774402e-15,2.6526928801710407e-14,6.624991863478597,5.620800892745801,5.065251496317444,6.513639531894005,-11.156978678645487,13.141730881403873,0.8312295803205171
-16.219999999999956,13.780000000000044,0.1,30,1.1368683772161603e-13,3.789561257387201e-15,-1.0989727646422883e-13,6.857235415641447,5.791380689024304,5.119703846225832,6.741979553069688,-11.551962941438148,13.832026884952313,0.8286172144728322
-16.209999999999955,13.790000000000045,0.1,30,-4.9264296346033615e-14,-2.6526928801710407e-14,2.2737367544323207e-14,6.967189678871243,5.862784347020193,5.339418681466498,6.8500857138669655,-11.420088211168547,14.102665645755394,0.8275592260987221
-16.199999999999953,13.800000000000047,0.1,30,-5.3053857603420815e-14,-2.2737367544323207e-14,3.031649005909761e-14,6.910557168872764,5.835888288888115,5.033396654612886,6.794405078551773,-11.128184300404882,13.79557784903318,0.8273298661404663
-16.18999999999995,13.810000000000048,0.1,30,-1.0610771520684163e-13,-3.789561257387201e-15,1.0231815394945443e-13,6.879203075061425,5.758784359359906,4.814731036181286,6.763577981833044,-11.211749697417815,13.820594520470024,0.8235620208321897
-16.17999999999995,13.82000000000005,0.1,30,-3.0316490059097606e-13,1.8947806286936004e-14,3.221127068779121e-13,6.716395374215983,5.593779457184197,4.622522279112843,6.603506739758065,-11.292774520627574,13.686208488804425,0.8230339097307231
-16.16999999999995,13.830000000000052,0.1,30,1.6674069532503683e-13,2.6526928801710407e-14,-1.4021376652332644e-13,6.653260440794652,5.526684222909751,4.8408683377576835,6.541432973231091,-11.721189068950991,13.117210256207784,0.8203141053981903
-16.159999999999947,13.840000000000053,0.1,30,1.0989727646422883e-13,2.6526928801710407e-14,-8.337034766251842e-14,6.676695404234574,5.52450506198683,5.229298054671233,6.564474043686175,-11.912579283267235,12.722467258822633,0.8161887523801586
-16.149999999999945,13.850000000000055,0.1,30,1.8568850161197285e-13,1.1368683772161604e-14,-1.7431981783981126e-13,6.826387485949526,5.624556503798506,5.471056601282328,6.711650112904477,-11.857154927826684,13.207034458736587,0.8081236978607136
-16.139999999999944,13.860000000000056,0.1,30,-1.8568850161197285e-13,3.789561257387201e-15,1.8947806286936006e-13,6.860415259009782,5.65605389616289,5.541859476970956,6.745105949885871,-12.44872795580153,12.988554481491917,0.8061173258784877
-16.129999999999942,13.870000000000058,0.1,30,-3.410605131648481e-14,-1.8947806286936004e-14,1.5158245029548804e-14,7.026378503887191,5.7779928268810865,5.688666576986634,6.90827969786196,-12.36436424056825,13.325069987207883,0.7997263731222484
-16.11999999999994,13.88000000000006,0.1,30,-2.6526928801710407e-14,-2.6526928801710407e-14,0.0,7.210918561830434,5.923426469536048,5.744048305941135,7.089718021320665,-12.787180098804413,13.583477723232761,0.7957447095682716
-16.10999999999994,13.890000000000061,0.1,30,-8.337034766251842e-14,-2.2737367544323207e-14,6.063298011819522e-14,7.223105525767213,5.981609798452382,5.713407200935478,7.1017001477456,-12.85676812604845,13.919650976165599,0.7919204996400458
-16.099999999999937,13.900000000000063,0.1,30,-7.579122514774402e-15,2.2737367544323207e-14,3.031649005909761e-14,7.316028026362481,6.0444473952776585,5.69021132469004,7.193060814407911,-12.98173473570614,14.015026804146714,0.7870712936938958
-16.089999999999936,13.910000000000064,0.1,30,4.168517383125921e-14,1.5158245029548804e-14,-2.6526928801710407e-14,7.527539963461508,6.247149862163379,6.022839988913347,7.401017675842047,-14.008795976333317,14.025778787056197,0.7871862592183692
