loss,mae,val_loss,val_mae,learning_rate
9.545766079099849e-05,0.005992695223540068,0.0001027136022457853,0.006163422949612141,3.906250185536919e-06
9.542276529828086e-05,0.005991603713482618,0.00010271235805703327,0.006165544502437115,3.906250185536919e-06
9.53600974753499e-05,0.005989938974380493,0.00010271559585817158,0.006165321916341782,3.906250185536919e-06
9.531436080578715e-05,0.005988607183098793,0.00010268285404890776,0.00616398686543107,3.906250185536919e-06
9.491694072494283e-05,0.005975418258458376,0.00010249365004710853,0.006158508360385895,1.9531250927684596e-06
9.485402551945299e-05,0.00597391277551651,0.00010246268357150257,0.006158917676657438,1.9531250927684596e-06
9.482324821874499e-05,0.0059729572385549545,0.00010239181574434042,0.006156161893159151,1.9531250927684596e-06
9.482042514719069e-05,0.005972427316009998,0.00010240962728857994,0.006157120689749718,1.9531250927684596e-06
9.478801803197712e-05,0.005971755366772413,0.00010241372365271673,0.006157468073070049,1.9531250927684596e-06
9.476045670453459e-05,0.005971013568341732,0.00010239204857498407,0.006157508119940758,1.9531250927684596e-06
9.473903628531843e-05,0.005970330908894539,0.00010237475362373516,0.006156919524073601,1.9531250927684596e-06
9.471467637922615e-05,0.005969655700027943,0.00010234003275400028,0.006155356299132109,1.9531250927684596e-06
9.450189099879935e-05,0.005962923634797335,0.00010224046127405018,0.006150661967694759,9.999999974752427e-07
9.447276534046978e-05,0.00596189359202981,0.00010217608360107988,0.006148365326225758,9.999999974752427e-07
9.445291652809829e-05,0.005961662158370018,0.00010218039096798748,0.006148209795355797,9.999999974752427e-07
9.444570605410263e-05,0.005961233284324408,0.00010217601811746135,0.006148260086774826,9.999999974752427e-07
9.44363564485684e-05,0.005961074028164148,0.00010220390686299652,0.006150228902697563,9.999999974752427e-07
9.442272130399942e-05,0.005960701033473015,0.0001022043579723686,0.006149155553430319,9.999999974752427e-07
9.442160808248445e-05,0.005960707552731037,0.00010218715760856867,0.006149330176413059,9.999999974752427e-07
9.439648420084268e-05,0.005959701724350452,0.00010217889939667657,0.0061482032760977745,9.999999974752427e-07
9.436736581847072e-05,0.005959261674433947,0.0001021941498038359,0.006149068474769592,9.999999974752427e-07
9.435864194529131e-05,0.005959121976047754,0.00010216005466645584,0.006148847285658121,9.999999974752427e-07
9.435569518245757e-05,0.005959453526884317,0.0001021476200548932,0.006147974636405706,9.999999974752427e-07
9.434279490960762e-05,0.005959388334304094,0.00010214757639914751,0.006148319225758314,9.999999974752427e-07
9.433516243007034e-05,0.005959449801594019,0.00010218718671239913,0.0061498405411839485,9.999999974752427e-07
9.433562081540003e-05,0.005959038157016039,0.00010215333168162033,0.006149273365736008,9.999999974752427e-07
9.433022205485031e-05,0.005958829540759325,0.00010211668268311769,0.006147746462374926,9.999999974752427e-07
9.43102131714113e-05,0.005958267021924257,0.00010210250184172764,0.006145881488919258,9.999999974752427e-07
9.430146747035906e-05,0.005958230700343847,0.00010208533058175817,0.006146004889160395,9.999999974752427e-07
9.429283818462864e-05,0.0059582083486020565,0.0001021109419525601,0.006147142034024,9.999999974752427e-07
9.428787598153576e-05,0.005958234425634146,0.00010206863225903362,0.0061463862657547,9.999999974752427e-07
9.427621262148023e-05,0.005957910791039467,0.00010208645835518837,0.006146778352558613,9.999999974752427e-07
9.426525502931327e-05,0.0059578632935881615,0.00010207401646766812,0.006145617458969355,9.999999974752427e-07
9.42673214012757e-05,0.005958035122603178,0.00010203607234871015,0.006145814899355173,9.999999974752427e-07
9.425723692402244e-05,0.005958152003586292,0.00010204425052506849,0.00614595552906394,9.999999974752427e-07
9.424582094652578e-05,0.0059577701613307,0.00010203285637544468,0.0061445641331374645,9.999999974752427e-07
9.423409937880933e-05,0.0059574139304459095,0.0001020759082166478,0.006147410254925489,9.999999974752427e-07
9.423369192518294e-05,0.005957786459475756,0.00010204580757999793,0.006146250758320093,9.999999974752427e-07
9.421609138371423e-05,0.005957622546702623,0.00010205632861470804,0.006146331783384085,9.999999974752427e-07
9.420113929081708e-05,0.005957208573818207,0.00010201485565630719,0.00614567007869482,9.999999974752427e-07
9.419289563084021e-05,0.005957025568932295,0.00010200987162534148,0.0061461906880140305,9.999999974752427e-07
9.418802801519632e-05,0.005956912413239479,0.0001020168128889054,0.006146978586912155,9.999999974752427e-07
9.417027467861772e-05,0.005956223234534264,0.0001019960836856626,0.006147143896669149,9.999999974752427e-07
9.417239198228344e-05,0.0059566800482571125,0.0001020069103105925,0.006146732717752457,9.999999974752427e-07
9.41515390877612e-05,0.005956172477453947,0.00010202181147178635,0.0061472817324101925,9.999999974752427e-07
9.41420512390323e-05,0.0059559959918260574,0.00010199837561231107,0.006146829109638929,9.999999974752427e-07
