species,wave,wave_vald,wave_l,wave_u,flux,flux_vald,flux_l,flux_u,depth,depth_vald,loggf,E_l,J_l,E_u,J_u,lande_l,lande_u,lande_m,damping_rad,damping_stark,damping_waals,vrad_info,crit_CaHK
Co 1,3343.8310844385705,3343.832,3343.78,3343.87,0.9156712591648102,0.857,0.93836427,0.9295553,0.08432874083518982,0.143,-1.023,3.1047,1.5,6.8125,2.5,1.12,1.47,1.73,8.01,-4.97,-7.45,19033335.309747104,True
NH 1,3343.973199740409,3343.9699,3343.88,3344.04,0.7678705453872681,0.836,0.93011177,0.83685213,0.23212945461273193,0.164,-1.446,0.4958,8.0,4.2035,9.0,99.0,99.0,99.0,0.0,0.0,0.0,563569747.9364088,True
Fe 1,3344.1982004391048,3344.198,3344.05,3344.42,0.41481971740722656,0.235,0.8373754,0.9687927,0.5851802825927734,0.765,-3.185,2.1759,3.0,5.8834,4.0,1.67,1.03,0.06,7.25,-6.24,-7.82,7145275165.051815,True
Fe 1,3344.7171890516074,3344.7208,3344.43,3344.97,0.138222336769104,0.835,0.9687038,0.9593624,0.861777663230896,0.165,-3.464,3.0385,2.0,6.7453,3.0,2.33,1.57,0.8,7.51,-4.92,-7.36,21963971181.073982,True
Co 1,3345.164024551049,3345.1825,3344.98,3345.32,0.6273438334465027,0.646,0.958028,0.97792923,0.3726561665534973,0.354,-1.548,2.0802,2.5,5.7866,2.5,1.3,1.23,1.26,8.05,-5.84,-7.79,2687711896.233636,True
Cr 1,3345.478975864251,3345.4705,3345.33,3345.55,0.5119948387145996,0.857,0.9781087,0.6792879,0.4880051612854004,0.143,-1.329,3.1044,5.0,6.8104,5.0,1.2,1.19,1.19,7.95,-6.1,-7.75,4281860119.692462,True
Cr 1,3345.574647487097,3345.594,3345.56,3345.66,0.6753422617912292,0.384,0.681947,0.8819417,0.32465773820877075,0.616,-0.613,2.8895,2.0,6.5953,2.0,2.33,2.28,2.31,8.34,-4.49,-7.54,883503476.8898709,True
Zr 2,3345.750743499588,3345.7477,3345.67,3345.8,0.5503220558166504,0.267,0.8773556,0.66143966,0.4496779441833496,0.733,-0.35,1.0108,4.5,4.7165,3.5,1.11,1.31,0.76,0.0,0.0,0.0,2868624200.5299993,True
Fe 1,3345.9349245852695,3345.8996,3345.81,3346.21,0.20735731720924377,0.10499999999999998,0.6652781,0.9758703,0.7926426827907562,0.895,-1.079,3.332,5.0,7.0376,5.0,1.4,1.38,1.39,7.65,-3.77,-7.33,14392946621.752298,True
Mn 1,3346.3126822184004,3346.3119,3346.22,3346.36,0.905248761177063,0.779,0.9756667,0.9328954,0.09475123882293701,0.221,-2.376,2.1782,1.5,5.8833,0.5,1.87,3.17,1.54,6.18,-6.17,-7.78,94993723.38783242,True
Zn 1,3346.5405985084985,3346.5319,3346.37,3346.78,0.3210359811782837,0.21099999999999997,0.93332535,0.982033,0.6789640188217163,0.789,-0.502,4.0779,2.0,7.7827,2.0,1.5,99.0,99.0,0.0,0.0,0.0,10728834368.296446,True
Gd 2,3346.9631883464895,3346.951,3346.79,3347.03,0.8129652589559555,0.786,0.98184144,0.8717067,0.1870347410440445,0.214,-0.6,0.0,2.5,3.7044,1.5,2.56,2.84,2.35,0.0,0.0,0.0,395919473.13108796,True
Cr 1,3347.1064652697683,3347.1059,3347.04,3347.17,0.7576196193695068,0.45499999999999996,0.8728697,0.86564004,0.24238038063049316,0.545,-0.711,2.9135,4.0,6.6177,4.0,1.75,1.71,1.73,8.35,-4.9,-7.54,601369908.8990403,True
NH 1,3347.2411085317303,3347.233,3347.18,3347.32,0.7439489364624023,0.841,0.8601427,0.88721687,0.25605106353759766,0.159,-1.488,0.4688,7.0,4.1729,8.0,99.0,99.0,99.0,0.0,0.0,0.0,751970601.9601043,True
NH 1,3347.387834600931,3347.3866,3347.33,3347.46,0.8236857056617737,0.888,0.88645184,0.90713733,0.17631429433822632,0.112,-2.096,0.0121,1.0,3.716,2.0,99.0,99.0,99.0,0.0,0.0,0.0,237203927.28675863,True
Ti 2,3347.7027566008296,3347.7029,3347.47,3347.8,0.1357860565185547,0.02100000000000002,0.9075045,0.6646169,0.8642139434814453,0.979,-1.04,0.1348,3.5,3.8384,2.5,1.24,1.03,1.5,8.38,-6.5,-7.84,23114378812.61426,True
Ti 2,3347.882344181464,3347.8774,3347.81,3348.15,0.34098339080810547,0.14100000000000001,0.66875166,0.96181375,0.6590166091918945,0.859,-1.95,1.161,0.5,4.8643,1.5,2.63,1.2,0.84,8.35,-6.53,-7.84,11266818125.61371,True
Fe 1,3348.3304390521525,3348.3295,3348.16,3348.39,0.5125045776367188,0.18100000000000005,0.9618033,0.7311915,0.48749542236328125,0.819,-1.487,3.6025,3.0,7.3054,2.0,1.66,1.68,1.64,8.18,-4.86,-7.46,5150186329.743045,True
Fe 1,3348.454958381253,3348.4601,3348.4,3348.53,0.5747973918914795,0.272,0.7315246,0.8171438,0.4252026081085205,0.728,-2.446,2.9904,4.0,6.6931,5.0,1.05,1.23,1.61,8.14,-6.06,-7.77,2303841224.481068,True
NH 1,3348.585513532272,3348.5844,3348.54,3348.64,0.7584795951843262,0.844,0.8149443,0.8362659,0.24152040481567383,0.156,-1.941,0.0122,2.0,3.7148,3.0,99.0,99.0,99.0,0.0,0.0,0.0,274777032.57747656,True
Cr 2,3348.785352745646,3348.7824,3348.65,3348.83,0.19626283645629883,0.06899999999999995,0.8398157,0.27281988,0.8037371635437012,0.931,-1.152,2.434,1.5,6.1363,0.5,1.19,3.15,0.7,0.0,0.0,188.213,9974187991.97455,True
Fe 1,3348.8790976290857,3348.8877,3348.84,3348.99,0.20680582523345947,0.05300000000000005,0.27339733,0.81695646,0.7931941747665405,0.947,-1.385,2.2786,2.0,5.9809,2.0,1.51,1.27,1.39,8.07,-5.59,246.259,10494549463.634525,True
Co 1,3349.080628946086,3349.0837,3349.0,3349.27,0.48499155044555664,0.798,0.8188579,0.8837393,0.5150084495544434,0.202,-0.769,3.1913,2.5,6.8934,3.5,1.61,1.19,0.67,7.97,-4.74,-7.46,4927232229.582069,True
Ti 1,3349.5023496335607,3349.4941,3349.28,3349.55,0.7085739970207214,0.544,0.8835012,0.7406689,0.29142600297927856,0.456,-2.31,0.0,2.0,3.7016,1.0,0.67,1.46,0.27,8.23,-5.98,356.255,371371503.3565577,True
Ti 2,3349.8101573003205,3349.8022,3349.56,3349.88,0.10691380500793457,0.02300000000000002,0.74163836,0.20957229,0.8930861949920654,0.977,-1.18,0.122,2.5,3.8232,1.5,1.03,0.41,1.49,8.38,-6.51,-7.84,9613216910.781784,True
Ti 2,3349.995866108207,3349.9953,3349.89,3350.14,0.05579417943954468,0.01200000000000001,0.2076431,0.22634855,0.9442058205604553,0.988,0.46,0.6072,3.5,4.3083,4.5,1.14,1.11,1.06,8.31,-6.39,-7.82,4500621292.205976,True
Ti 2,3350.3631973542338,3350.365,3350.15,3350.96,0.042434126138687134,0.010000000000000009,0.22657973,0.77648944,0.9575658738613129,0.99,0.54,0.0488,4.5,3.7494,5.5,1.33,1.27,1.14,8.24,-6.41,-7.86,6147700238.8762245,True
Er 2,3351.018702688231,3351.027,3350.97,3351.06,0.764102578163147,0.827,0.77598697,0.77819324,0.23589742183685303,0.173,0.826,1.6827,10.5,5.3826,9.5,1.24,1.2,1.42,0.0,0.0,0.0,11334074.40562967,True
Fe 1,3351.2189799785024,3351.2181,3351.07,3351.32,0.1646430492401123,0.14800000000000002,0.77617055,0.35782292,0.8353569507598877,0.852,-2.534,2.4327,5.0,6.1324,5.0,1.04,1.16,1.1,8.01,-6.1,-7.78,10777394450.768894,True
Ni 2,3351.3819914086707,3351.3816,3351.33,3351.4,0.3254939317703247,0.236,0.3574449,0.33277133,0.6745060682296753,0.764,-2.355,2.9504,1.5,6.6498,1.5,1.05,1.19,1.12,8.56,-6.62,-7.93,80198243.15178907,True
Gd 2,3351.4513622851764,3351.4411,3351.41,3351.68,0.28572213649749756,0.254,0.3349148,0.9426364,0.7142778635025024,0.746,0.47,0.1437,5.5,3.8431,6.5,1.74,1.65,1.4,0.0,0.0,0.0,8359186629.923195,True
NH 1,3351.806545802218,3351.8073,3351.69,3351.91,0.8231860399246216,0.895,0.94256234,0.9500528,0.17681396007537842,0.105,-2.136,0.004,2.0,3.7031,2.0,99.0,99.0,99.0,0.0,0.0,0.0,442276471.0444115,True
Ni 1,3352.020779458618,3352.0183,3351.92,3352.17,0.7000248432159424,0.41500000000000004,0.9493548,0.9284174,0.2999751567840576,0.585,-4.777,0.0,4.0,3.6988,3.0,1.3,1.25,1.38,7.68,-6.17,-7.82,1657292037.815338,True
Fe 1,3352.1962057033575,3352.2038,3352.18,3352.31,0.9261407554149628,0.876,0.9282352,0.96788734,0.07385924458503723,0.124,-3.562,3.0713,1.0,6.7699,1.0,1.47,1.33,1.4,8.05,-4.63,-7.44,24030045.302115463,True
Fe 1,3352.494681946124,3352.4847,3352.32,3352.61,0.28668951988220215,0.08499999999999996,0.96786225,0.7752287,0.7133104801177979,0.915,-2.101,2.1979,2.0,5.8961,1.0,1.82,1.88,1.79,7.88,-6.09,-7.77,14054164860.480728,True
Fe 1,3352.7055191397003,3352.7072,3352.62,3352.81,0.3546419143676758,0.09199999999999997,0.7835238,0.9169947,0.6453580856323242,0.908,-1.588,2.7275,4.0,6.4256,3.0,1.05,0.8,1.43,7.81,-5.88,-7.8,12586321285.000166,True
Ni 1,3353.009601140241,3353.0107,3352.82,3353.24,0.178564190864563,0.856,0.91008586,0.9803301,0.821435809135437,0.144,-2.178,3.4646,1.0,7.1623,1.0,1.49,1.5,1.49,8.07,-5.0,-7.49,21080402049.85876,True
Cr 1,3353.3544243316146,3353.3553,3353.25,3353.56,0.9477956146001816,0.899,0.98043156,0.9854083,0.05220438539981842,0.101,-0.735,3.8904,4.0,7.5877,3.0,1.35,1.48,1.15,7.96,-4.1,-7.26,33384190.86228084,True
Co 2,3353.7667708576587,3353.7647,3353.57,3353.81,0.6737511157989502,0.42000000000000004,0.9854117,0.7640379,0.3262488842010498,0.58,-1.83,2.2356,2.0,5.9325,1.0,1.84,1.44,2.04,8.55,-6.56,-7.91,1837801524.638541,True
Fe 1,3353.8879057115055,3353.8841,3353.82,3353.97,0.4532592296600342,0.15200000000000002,0.7624042,0.8311874,0.5467407703399658,0.848,-2.538,2.4534,4.0,6.1502,5.0,0.81,1.08,1.6,8.01,-6.08,-7.78,6644889750.757407,True
Cr 2,3354.083541672384,3354.0878,3353.98,3354.15,0.28966712951660156,0.09699999999999998,0.8297837,0.6496155,0.7103328704833984,0.903,-1.522,2.4827,3.5,6.1792,4.5,1.43,1.57,1.82,8.39,-6.47,188.21,12538043742.351175,True
Fe 1,3354.2225965363486,3354.2238,3354.16,3354.37,0.39750146865844727,0.10099999999999998,0.6624726,0.9724833,0.6024985313415527,0.899,-2.048,2.4327,5.0,6.1291,6.0,1.04,1.17,1.5,7.97,-6.09,-7.79,9188552725.266422,True
Sc 2,3354.6860836939836,3354.6879,3354.38,3354.82,0.13720107078552246,0.030000000000000027,0.97249645,0.85318005,0.8627989292144775,0.97,0.26,0.315,2.0,4.0109,3.0,1.0,1.0,1.0,8.35,-6.31,-7.81,22443682926.884735,True
NH 1,3354.884428990342,3354.8846,3354.83,3354.92,0.7996024489402771,0.883,0.8512171,0.820788,0.2003975510597229,0.117,-2.088,0.0,1.0,3.6956,1.0,99.0,99.0,99.0,0.0,0.0,0.0,88574474.15439671,True
Fe 1,3355.0228501554548,3355.0231,3354.93,3355.11,0.313352108001709,0.07599999999999996,0.8183413,0.8481155,0.686647891998291,0.924,-1.169,2.8581,0.0,6.5535,1.0,0.0,1.25,1.25,8.19,-5.71,289.263,14774472308.412245,True
Co 1,3355.1815861940177,3355.1818,3355.12,3355.24,0.7266877889633179,0.42800000000000005,0.8566811,0.85921884,0.27331221103668213,0.572,-0.329,2.9577,4.5,6.653,5.5,1.48,1.42,1.29,8.29,-5.15,-7.53,886354179.2883614,True
Zr 2,3355.3479516903585,3355.3481,3355.25,3355.44,0.25084424018859863,0.43799999999999994,0.8602033,0.7688988,0.7491557598114014,0.562,-0.92,0.7578,1.5,4.4529,1.5,1.3,1.34,1.32,0.0,0.0,0.0,18454088346.652496,True
Ti 1,3355.5927197161986,3355.5974,3355.45,3355.73,0.2179880142211914,0.03700000000000003,0.760531,0.9563094,0.7820119857788086,0.963,0.11,0.0211,3.0,3.7159,4.0,1.08,1.05,1.0,8.1,-5.97,234.257,18068473040.575066,True
Fe 1,3355.8410243746157,3355.8298,3355.74,3355.96,0.7202764749526978,0.515,0.9569534,0.9752685,0.27972352504730225,0.485,-2.854,3.0173,2.0,6.7118,3.0,1.48,0.97,0.45,7.68,-4.34,-7.47,1858671875.825296,True
Fe 1,3356.1878516304437,3356.1919,3355.97,3356.36,0.231781005859375,0.06399999999999995,0.97547495,0.972349,0.768218994140625,0.936,-0.405,3.3014,4.0,6.9956,4.0,0.81,0.86,0.84,8.23,-5.45,229.253,19616568642.55368,True
Fe 1,3356.481580336981,3356.4818,3356.37,3356.63,0.593717098236084,0.17500000000000004,0.9723948,0.9898097,0.406282901763916,0.825,-4.258,0.9582,3.0,4.652,2.0,1.25,0.69,1.81,8.07,-6.28,-7.75,5137382048.865587,True
Co 1,3356.900788997587,3356.9052,3356.77,3356.96,0.7121449708938599,0.42400000000000004,0.989949,0.8795763,0.28785502910614014,0.576,-1.233,2.0421,1.5,5.7355,1.5,1.1,1.51,1.3,8.05,-6.13,-7.8,1876392689.0592465,True
Zr 2,3357.0527143213344,3357.0525,3356.97,3357.13,0.479398250579834,0.09699999999999998,0.8879673,0.86226004,0.520601749420166,0.903,-0.513,0.0947,3.5,3.7879,2.5,1.24,1.05,1.47,0.0,0.0,0.0,7720891688.085388,True
Cr 1,3357.3506938301302,3357.3366,3357.14,3357.54,0.2143036127090454,0.5389999999999999,0.86838037,0.82562274,0.7856963872909546,0.461,-0.844,2.9135,4.0,6.6064,3.0,1.75,1.86,1.59,8.35,-4.81,-7.54,11909975504.245752,True
Fe 1,3357.6483124750766,3357.6483,3357.55,3357.75,0.3326857089996338,0.11299999999999999,0.8223887,0.86703455,0.6673142910003662,0.887,-1.497,3.0469,4.0,6.7395,3.0,1.0,1.18,0.73,7.93,-6.0,-7.5,12886459262.64805,True
Co 1,3357.798990481707,3357.8019,3357.76,3357.96,0.8281609416007996,0.605,0.8663617,0.98998904,0.17183905839920044,0.395,-0.509,3.0665,2.5,6.759,1.5,1.34,1.33,1.34,8.08,-5.11,-7.53,414939772.28204006,True
Zr 2,3358.233171118152,3358.2258,3358.03,3358.3,0.4065995216369629,0.10099999999999998,0.989979,0.68328184,0.5934004783630371,0.899,-0.66,0.0,1.5,3.692,1.5,0.4,0.7,0.55,0.0,0.0,0.0,9079583613.151127,True
Cr 2,3358.3629079987745,3358.3649,3358.31,3358.46,0.47811222076416016,0.22799999999999998,0.67607284,0.9365757,0.5218877792358398,0.772,-0.464,4.4148,3.5,8.1066,4.5,1.14,1.12,1.08,8.31,-6.49,183.216,5924036975.347939,True
Fe 1,3358.5326277660283,3358.5329,3358.47,3358.6,0.8259297609329224,0.5740000000000001,0.93272316,0.93241334,0.17407023906707764,0.426,-2.379,3.6025,3.0,7.2941,3.0,1.66,1.34,1.5,8.08,-4.16,-7.31,488251965.6327304,True
NH 1,3358.701836970662,3358.6979,3358.61,3358.85,0.6139096021652222,0.708,0.9289429,0.91423905,0.38609039783477783,0.292,-1.587,0.0404,3.0,3.7319,3.0,99.0,99.0,99.0,0.0,0.0,0.0,2841085301.2912164,True
NH 1,3359.007068443685,3359.0099,3358.86,3359.12,0.478518009185791,0.647,0.9137947,0.9487621,0.521481990814209,0.353,-1.458,0.0606,4.0,3.7517,4.0,99.0,99.0,99.0,0.0,0.0,0.0,6989802480.82211,True
Ti 1,3359.240665539242,3359.2358,3359.13,3359.32,0.3193359375,0.11699999999999999,0.9442685,0.7183393,0.6806640625,0.883,-1.26,0.0,2.0,3.6908,2.0,0.67,1.16,0.91,8.15,-6.07,373.261,13317044448.872702,True
Cr 2,3359.453897439895,3359.4562,3359.33,3359.55,0.16263437271118164,0.049000000000000044,0.7277546,0.5246966,0.8373656272888184,0.951,-0.669,2.4546,2.5,6.1452,1.5,1.37,1.82,1.03,0.0,0.0,188.213,14899244674.687458,True
NH 1,3359.6525226487684,3359.6584,3359.56,3359.7,0.4265618920326233,0.5529999999999999,0.5233991,0.46299502,0.5734381079673767,0.447,-1.217,0.1448,7.0,3.8352,7.0,99.0,99.0,99.0,0.0,0.0,0.0,328051460.03686154,True
Fe 2,3359.731443972593,3359.7454,3359.71,3359.79,0.4486945867538452,0.32799999999999996,0.46188757,0.54729766,0.5513054132461548,0.672,-4.634,1.6706,2.5,5.3609,2.5,1.61,1.87,1.74,8.49,-6.56,211.244,461633651.5359934,True
NH 1,3359.8417976177498,3359.8472,3359.8,3359.91,0.4801987409591675,0.5409999999999999,0.5476551,0.67400885,0.5198012590408325,0.459,-1.162,0.1807,8.0,3.8709,8.0,99.0,99.0,99.0,0.0,0.0,0.0,1496918844.498733,True
Ni 1,3360.067936442474,3360.072,3359.92,3360.17,0.16823101043701172,0.11399999999999999,0.6711804,0.60031337,0.8317689895629883,0.886,-0.029,3.48,4.0,7.1699,5.0,1.17,1.24,1.38,8.23,-5.02,-7.53,12333313757.86275,True
NH 1,3360.2443111566863,3360.2454,3360.18,3360.3,0.35111260414123535,0.5740000000000001,0.59770805,0.5343663,0.6488873958587646,0.426,-1.313,0.0848,6.0,3.7746,6.0,99.0,99.0,99.0,0.0,0.0,0.0,4192139701.984193,True
Fe 1,3360.4527083584007,3360.4513,3360.31,3360.54,0.22135889530181885,0.07699999999999996,0.53864634,0.60544753,0.7786411046981812,0.923,-3.554,0.859,5.0,4.5485,4.0,1.4,1.25,1.71,8.07,-6.09,-7.75,8633431671.398083,True
Sc 2,3360.6522217724373,3360.6435,3360.55,3360.83,0.11937510967254639,0.05300000000000005,0.5935805,0.6413993,0.8806248903274536,0.947,-0.75,0.0084,2.0,3.6977,2.0,1.16,1.5,1.33,8.18,-6.31,-7.86,16730706774.329885,True
NH 1,3361.1058559242897,3361.0847,3360.84,3361.19,0.12643443048000336,0.488,0.6351814,0.18860525,0.8735655695199966,0.512,-1.037,0.2203,11.0,3.9091,11.0,99.0,99.0,99.0,0.0,0.0,0.0,6468064458.958212,True
Cr 2,3361.2589116402523,3361.2562,3361.2,3361.38,0.11888450384140015,0.07099999999999995,0.1888166,0.65451527,0.8811154961585999,0.929,-0.371,3.1038,3.5,6.7924,3.5,1.43,1.43,1.43,8.37,-6.54,241.26,10515341461.13286,True
NH 1,3361.5146213671437,3361.5024,3361.39,3361.7,0.23571056127548218,0.554,0.6486348,0.50429165,0.7642894387245178,0.446,-0.952,0.4164,14.0,4.1048,14.0,99.0,99.0,99.0,0.0,0.0,0.0,6719720251.5630665,True
NH 1,3361.779100036016,3361.7656,3361.71,3361.8,0.38878941535949707,0.573,0.50904584,0.40166238,0.6112105846405029,0.427,-0.927,0.4744,15.0,4.1625,15.0,99.0,99.0,99.0,0.0,0.0,0.0,655463696.3019965,True
Fe 1,3361.938086975666,3361.9387,3361.81,3362.0,0.14567744731903076,0.724,0.40431347,0.17487898,0.8543225526809692,0.276,-3.937,2.2786,2.0,5.9665,3.0,1.51,1.24,0.97,8.07,-6.29,-7.77,3205188849.5842595,True
Ti 2,3362.18679789126,3362.1779,3362.01,3362.37,0.04003533720970154,0.01100000000000001,0.1750162,0.19511558,0.9599646627902985,0.989,0.41,0.028,3.5,3.7156,4.5,1.24,1.17,1.05,8.23,-6.41,-7.86,3363780046.6123257,True
Ni 1,3362.5089211570107,3362.5189,3362.38,3362.63,0.07721871137619019,0.07899999999999996,0.19518198,0.4901266,0.9227812886238098,0.921,-3.473,0.1091,2.0,3.7963,2.0,0.74,1.15,0.95,7.97,-6.13,-7.81,9145157762.085554,True
NH 1,3362.7678450475437,3362.7853,3362.64,3362.77,0.15766093134880066,0.871,0.49517587,0.15884231,0.8423390686511993,0.129,-2.043,0.0041,1.0,3.6911,2.0,99.0,99.0,99.0,0.0,0.0,0.0,4550053402.037961,True
Ca 1,3362.878734023808,3362.8783,3362.64,3363.0,0.11299890279769897,0.139,0.49517587,0.667996,0.887001097202301,0.861,-1.246,1.8989,2.0,5.5858,3.0,1.5,1.33,1.17,7.05,-3.53,-7.09,15511980049.703033,True
Ca 1,3363.0854253523094,3363.0995,3363.01,3363.13,0.45996642112731934,0.30800000000000005,0.66820085,0.52878416,0.5400335788726807,0.692,-2.002,1.8989,2.0,5.5855,2.0,1.5,1.17,1.33,7.05,-3.53,-7.09,1575990366.8917038,True
Fe 1,3363.222742574799,3363.233,3363.14,3363.46,0.21310710906982422,0.15400000000000003,0.5287733,0.9403193,0.7868928909301758,0.846,-1.961,2.9904,4.0,6.6768,4.0,1.05,1.19,1.12,7.87,-4.29,-7.54,10936685789.692514,True
Ti 2,3363.621791317778,3363.6096,3363.47,3363.66,0.35777556896209717,0.15200000000000002,0.9392473,0.41074374,0.6422244310379028,0.848,-1.94,1.2241,0.5,4.9101,1.5,2.6,1.21,0.86,8.26,-6.41,-7.85,6041694452.152616,True
NH 1,3363.749961845355,3363.746,3363.67,3363.86,0.20153141021728516,0.71,0.41165963,0.83618194,0.7984685897827148,0.29,-0.836,0.815,20.0,4.5009,20.0,99.0,99.0,99.0,0.0,0.0,0.0,13723715853.604366,True
NH 1,3363.9281423479492,3363.9288,3363.87,3364.09,0.6717472076416016,0.746,0.8271178,0.9748333,0.32825279235839844,0.254,-0.833,0.8926,20.0,4.5783,20.0,99.0,99.0,99.0,0.0,0.0,0.0,2018879511.8115354,True
NH 1,3364.336515452074,3364.3154,3364.1,3364.46,0.39447444677352905,0.742,0.9748441,0.9421306,0.605525553226471,0.258,-0.823,0.8926,21.0,4.5779,21.0,99.0,99.0,99.0,0.0,0.0,0.0,9377701897.083565,True
NH 1,3364.6172059630353,3364.5882,3364.47,3364.61,0.3451472520828247,0.776,0.9444863,0.34953916,0.6548527479171753,0.224,-0.821,0.9732,21.0,4.6582,21.0,99.0,99.0,99.0,0.0,0.0,0.0,6922197324.790482,True
Cr 2,3364.6625710021335,3364.6665,3364.47,3364.81,0.26823437213897705,0.11299999999999999,0.9444863,0.6656332,0.731765627861023,0.887,-1.758,2.434,1.5,6.1188,2.5,1.19,1.63,1.96,8.33,-6.47,188.219,10917795781.150148,True
NH 1,3364.897561633384,3364.8995,3364.82,3365.1,0.4831618070602417,0.767,0.6669932,0.9310939,0.5168381929397583,0.233,-0.8,0.973,23.0,4.6576,23.0,99.0,99.0,99.0,0.0,0.0,0.0,2975540081.7984815,True
Fe 1,3365.2354873665404,3365.23,3365.11,3365.29,0.44313549995422363,0.19799999999999995,0.9320558,0.5537028,0.5568645000457764,0.802,-2.08,3.111,0.0,6.7952,1.0,0.0,0.66,0.66,7.87,-4.93,-7.47,4409587169.991023,True
Fe 1,3365.3624035755365,3365.3741,3365.3,3365.46,0.37726616859436035,0.14300000000000002,0.5542192,0.8639391,0.6227338314056396,0.857,-1.801,3.0469,4.0,6.731,3.0,1.0,1.33,0.52,7.95,-5.22,-7.58,7059857747.021052,True
Ni 1,3365.574592969693,3365.5575,3365.47,3365.81,0.24727797508239746,0.14200000000000002,0.85337424,0.9760571,0.7527220249176025,0.858,-0.45,3.3799,6.0,7.0638,5.0,1.32,1.2,1.62,7.3,-3.41,-7.1,15105317660.668106,True
Co 1,3365.9804079833484,3365.9826,3365.82,3366.06,0.7694212198257446,0.474,0.9766756,0.94808346,0.23057878017425537,0.526,-1.344,2.008,0.5,5.6914,1.5,2.68,1.67,1.42,8.28,-6.23,-7.78,1088336060.9580255,True
NH 1,3366.1748562551124,3366.1611,3366.07,3366.3,0.7431870102882385,0.829,0.95089525,0.8890201,0.2568129897117615,0.171,-0.8,1.143,23.0,4.8262,23.0,99.0,99.0,99.0,0.0,0.0,0.0,919503148.9977734,True
Cr 1,3366.4909962203155,3366.4868,3366.31,3366.58,0.5952305793762207,0.624,0.8915035,0.81359315,0.4047694206237793,0.376,-0.795,3.1128,3.0,6.7957,4.0,0.97,1.05,1.17,7.84,-6.14,-7.78,2154657197.3228593,True
Ni 1,3366.7329271677336,3366.733,3366.59,3366.92,0.1225433349609375,0.027000000000000024,0.8139727,0.83890516,0.8774566650390625,0.973,-1.881,0.4228,2.0,4.1054,3.0,1.19,1.01,0.83,8.08,-6.16,-7.81,22957405158.978977,True
Ni 1,3367.1323584951274,3367.1291,3366.93,3367.37,0.09447991847991943,0.02300000000000002,0.84053475,0.7591542,0.9055200815200806,0.977,-2.021,0.1652,3.0,3.8474,3.0,1.05,1.08,1.07,8.0,-6.11,-7.8,23772258717.663845,True
NH 1,3367.289442313822,3367.32,3367.29,3367.37,0.6955210864543915,0.851,0.6966435,0.7591542,0.3044789135456085,0.149,-0.78,1.2316,26.0,4.9136,26.0,99.0,99.0,99.0,0.0,0.0,0.0,104073959.5664621,True
NH 1,3367.4093274055735,3367.423,3367.38,3367.56,0.7511408030986786,0.853,0.76120657,0.95557904,0.2488591969013214,0.147,-0.787,1.2319,25.0,4.9138,25.0,99.0,99.0,99.0,0.0,0.0,0.0,560587104.9258859,True
Ni 1,3367.793126796259,3367.7741,3367.57,3367.97,0.10422801971435547,0.09299999999999997,0.9556605,0.827695,0.8957719802856445,0.907,0.16,3.3799,6.0,7.0614,6.0,1.32,1.31,1.32,8.26,-5.18,-7.53,28486971442.76207,True
Co 1,3368.0962709278087,3368.077,3367.98,3368.2,0.15709400177001953,0.04800000000000004,0.835295,0.7659851,0.8429059982299805,0.952,-1.09,0.4318,4.5,4.113,3.5,1.33,1.04,1.85,8.14,-6.11,294.272,25221928630.973907,True
Fe 1,3368.2695723556285,3368.2649,3368.21,3368.32,0.5698580741882324,0.236,0.7604332,0.67450815,0.4301419258117676,0.764,-2.896,2.4534,4.0,6.1344,3.0,0.81,1.0,0.52,7.46,-6.21,-7.8,1566862817.753806,True
Cr 2,3368.4138370057103,3368.402,3368.33,3368.56,0.4447745084762573,0.32499999999999996,0.67532206,0.84768784,0.5552254915237427,0.675,-0.832,4.41,2.5,8.0908,3.5,0.86,0.92,1.0,8.31,-6.49,182.217,4173611745.1510344,True
Fe 1,3368.6343029745412,3368.6323,3368.57,3368.69,0.7136846780776978,0.41600000000000004,0.8525346,0.8100022,0.28631532192230225,0.584,-2.066,3.6537,2.0,7.3342,1.0,1.84,1.2,2.16,8.34,-4.89,-7.5,745833184.1047161,True
Ni 1,3368.852835841051,3368.8536,3368.7,3368.92,0.22197437286376953,0.04400000000000004,0.8114891,0.42417717,0.7780256271362305,0.956,-2.947,0.0254,3.0,3.7057,2.0,1.04,1.33,0.75,7.81,-6.12,-7.82,8919743320.406832,True
Cr 2,3369.008981949006,3369.0086,3368.93,3369.13,0.12457931041717529,0.03500000000000003,0.41453612,0.6451659,0.8754206895828247,0.965,-0.165,2.4827,3.5,6.1628,2.5,1.43,1.62,1.18,0.0,0.0,188.213,14605231621.296476,True
Fe 1,3369.198495285796,3369.2079,3369.14,3369.4,0.4896697998046875,0.236,0.64021677,0.9225057,0.5103302001953125,0.764,-2.075,3.2515,3.0,6.9314,4.0,1.34,1.05,0.61,8.05,-5.99,-7.74,3257423305.484913,True
Cr 2,3369.6615590178526,3369.6769,3369.41,3369.74,0.27198612689971924,0.33899999999999997,0.922383,0.43282095,0.7280138731002808,0.661,-0.857,4.4272,5.5,8.1066,4.5,1.09,1.12,1.03,8.31,-6.59,220.201,7115434382.150164,True
