species,wave,wave_vald,wave_l,wave_u,flux,flux_vald,flux_l,flux_u,depth,depth_vald,loggf,E_l,J_l,E_u,J_u,lande_l,lande_u,lande_m,damping_rad,damping_stark,damping_waals,vrad_info,crit_CaHK
Fe 1,3008.6304390760315,3008.6274,3008.57,3008.66,0.19762587547302246,0.43999999999999995,0.28278005,0.2191251,0.8023741245269775,0.56,-3.2,2.5881,3.0,6.7091,2.0,1.07,1.7,0.45,8.35,-4.97,-7.5,584662388.9102409,True
Fe 1,3009.014451136166,3009.0146,3008.67,3009.3,0.01565505564212799,0.0050000000000000044,0.22118099,0.15062442,0.984344944357872,0.995,-0.837,0.1101,1.0,4.2305,0.0,1.5,0.0,1.5,8.31,-6.16,278.264,2359927353.181555,True
Fe 1,3009.355933015563,3009.3581,3009.31,3009.43,0.09726136922836304,0.10099999999999998,0.14867696,0.28614655,0.902738630771637,0.899,-1.579,3.2657,2.0,7.3857,2.0,1.5,1.82,1.66,7.74,-3.44,-7.12,3206247671.695531,True
V 2,3009.50237610437,3009.4911,3009.44,3009.62,0.13927364349365234,0.127,0.28824633,0.3879991,0.8607263565063477,0.873,-0.66,1.6752,1.0,5.795,2.0,2.39,1.48,1.02,8.26,-6.46,-7.87,4669349990.513744,True
Ce 2,3009.662443310947,3009.663,3009.63,3009.76,0.3627455234527588,0.755,0.3924923,0.5508556,0.6372544765472412,0.245,-0.32,0.32,4.5,4.4396,4.5,1.02,1.2,1.11,0.0,0.0,0.0,996948642.3654678,True
Fe 1,3009.9690378482464,3009.97,3009.77,3010.03,0.04418039321899414,0.026000000000000023,0.5518423,0.13144384,0.9558196067810059,0.974,-0.936,2.4041,6.0,6.5232,5.0,1.16,1.03,1.49,8.02,-5.23,315.246,9735474352.920683,True
Ca 1,3010.0750859015625,3010.0826,3010.04,3010.16,0.08839917182922363,0.06699999999999995,0.13139574,0.34067473,0.9116008281707764,0.933,-0.764,1.8989,2.0,6.0179,1.0,1.5,1.5,1.5,8.18,-5.85,617.306,4850185714.034691,True
Fe 1,3010.446013105368,3010.4461,3010.17,3010.92,0.018391698598861694,0.006000000000000005,0.33593264,0.63575286,0.9816083014011383,0.994,-0.758,0.9146,4.0,5.0331,4.0,1.35,1.33,1.34,8.78,-5.8,433.296,6971368385.590233,True
Fe 1,3011.0462479169355,3011.0502,3010.93,3011.21,0.08299064636230469,0.039000000000000035,0.6359061,0.7646075,0.9170093536376953,0.961,-1.223,2.5592,4.0,6.6768,4.0,1.24,1.19,1.21,7.87,-4.29,-7.54,21360029084.358356,True
Ni 1,3011.3017382503185,3011.3015,3011.22,3011.43,0.3182101249694824,0.16700000000000004,0.76657414,0.82846946,0.6817898750305176,0.833,-2.393,1.9354,2.0,6.0527,1.0,1.05,1.36,0.9,8.13,-5.11,-7.7,11474003052.370203,True
Cr 2,3011.5097981150034,3011.5107,3011.44,3011.61,0.7678135633468628,0.859,0.8282961,0.8424257,0.2321864366531372,0.141,-0.063,6.8027,4.5,10.9197,4.5,1.33,1.33,1.33,8.46,-6.47,186.212,164692949.0457334,True
Cu 1,3011.7134753852497,3011.7128,3011.62,3011.86,0.6244983673095703,0.616,0.84211135,0.83075166,0.3755016326904297,0.384,-2.787,1.3889,2.5,5.5057,2.5,1.23,1.43,1.33,5.48,-6.27,-7.84,1442367640.299398,True
Mn 1,3012.0492558634687,3012.0404,3011.87,3012.07,0.497212290763855,0.405,0.83030707,0.5298699,0.502787709236145,0.595,-0.84,3.135,4.5,7.2513,4.5,1.17,0.97,1.07,8.05,-6.17,350.24,2056660750.69405,True
Fe 1,3012.149202779879,3012.1482,3012.08,3012.2,0.13396835327148438,0.061000000000000054,0.52608407,0.38138008,0.8660316467285156,0.939,-0.948,3.2657,2.0,7.3818,3.0,1.5,1.28,1.06,7.82,-3.65,-7.12,12509052563.087349,True
Fe 1,3012.351545458408,3012.3585,3012.21,3012.48,0.05597996711730957,0.02300000000000002,0.39600888,0.55444276,0.9440200328826904,0.977,-0.334,2.7586,3.0,6.8744,4.0,0.76,0.8,0.88,7.8,-6.19,223.255,15276979269.505367,True
Fe 1,3012.6158304219807,3012.6053,3012.49,3012.66,0.1877913475036621,0.16500000000000004,0.5531254,0.25107998,0.8122086524963379,0.835,-2.0,3.2515,3.0,7.367,3.0,1.34,1.3,1.32,7.59,-4.1,-7.19,4457293215.016118,True
