rv_shift_+77.396_ms,rv_shift_+43.888_ms
0.683930874671808,0.6829864986930672
0.6810662551835509,0.680074801885662
0.678059161799825,0.6770198114322545
0.6749095746607328,0.6738218593758661
0.6716097362540336,0.6704708207973451
0.6681626127314124,0.666975723294199
0.6645675227563395,0.6633291155861658
0.6608302252282388,0.6595490689190753
0.6569589645242899,0.655629114707597
0.652944620193503,0.651570639878168
0.6487970025573697,0.6473758697567997
0.6445150469874625,0.6430523369119385
0.6401083950654598,0.6386038861124925
0.6355855693245012,0.634046672060403
0.6309537700554766,0.6293777213289973
0.6262151111875449,0.6246041090748868
0.6213770190289252,0.6197348345979682
0.6164537183015196,0.6147855265502739
0.6114519241404136,0.6097609298597436
0.6063849791851061,0.6046736924907492
0.6012599689182179,0.5995338492984874
0.5960975715223128,0.5943588859009252
0.5908987035408217,0.5891522862837837
0.5856815383096803,0.5839308629432459
0.5804573112630323,0.5787092751680898
0.5752493567161945,0.5735086299871242
0.5700638287503633,0.5683348925270899
0.5649174156121441,0.5632033132113614
0.5598215758142326,0.5581280353959674
0.5547968394445009,0.5531313710122643
0.5498581964384452,0.5482263280258003
0.5450205561456407,0.5434239963603287
0.5402999422773989,0.5387468374595653
0.5357090604964894,0.5342020201544878
0.5312621413351689,0.5298081903573266
0.5269770684858036,0.5255803472944783
0.5228710457199642,0.5215393980695362
0.5189604319142526,0.5176929501953769
0.5152503804891118,0.5140561702880811
0.5117530133748615,0.510629024462063
0.5084769559170799,0.5074340554181385
0.5054541235985939,0.5044980692212985
0.5026919965263491,0.501826215787146
0.5001919015230747,0.4994081807212737
0.49793753495957216,0.49724348290034676
0.4959701335954732,0.495377677342494
0.4942994464565072,0.4938060821126516
0.4929292390572323,0.49253805611033824
0.4918502218795977,0.49155021135392385
0.4910573844019114,0.49086366513198165
0.49058201608292473,0.490491266623798
0.490411357270972,0.4904234618385005
0.490544247808268,0.4906532281475687
0.4909778649086036,0.4911962588467137
0.49173549724466165,0.49205379726581866
0.4927803552345132,0.4931969458436678
0.49411702430875415,0.4946276050264636
0.4957363785058404,0.49634709618237327
0.49765487323041185,0.49836145131739285
0.4998555126445602,0.5006546293891636
0.5023253384028439,0.5032094957773695
0.505045085315548,0.5060108598916763
0.5080107810489217,0.5090580105876366
0.511217153116509,0.5123445260870443
0.5146556270362743,0.5158582486269804
0.5183145453556,0.5195877778588338
0.5221736253309455,0.5235053918677645
0.526207394079604,0.527597902436606
0.5304177245181919,0.5318664694080271
0.5347938390377367,0.5362940329637317
0.5393172138299018,0.5408598856915829
0.5439632881097867,0.5455470525665158
0.5487240728663791,0.5503420209013226
0.5535871913153302,0.5552362793725463
0.558533871340859,0.5602069466846338
0.5635488946025,0.5652415129129924
0.568612143453576,0.5703169358027554
0.5737181151928553,0.5754367591854157
0.5788545858190821,0.580578159645049
0.5839988082904725,0.5857228066454675
0.5891374806890433,0.5908544166253495
0.5942557145892082,0.5959659947891184
0.599348950417628,0.6010480210739974
0.6044038225997539,0.6060867451781908
0.609407948686939,0.6110693453733937
0.6143430880125298,0.6159812874456816
0.6192075519628593,0.6208192313913488
0.6239884065851952,0.625569507746719
0.6286767684608119,0.6302264609086564
0.6332660656091349,0.6347809774487974
0.6377509628716784,0.639229289819504
0.6421243674376447,0.6435630577690423
0.646374478471254,0.6477717540145425
0.6505042470350173,0.6518596786539601
0.6545031484609041,0.6558129751934771
0.6583692693870107,0.6596370664081432
0.6621063174612313,0.6633273998036004
0.6657062945265911,0.6668827548431565
0.669166972452717,0.6702945178255793
0.6724849954717902,0.673565250272196
0.6756655247498595,0.6767000884143168
0.6787076174764923,0.6796967865373738
0.6816136298959514,0.6825555269171992
0.6843778550173619,0.6852725144387497
0.6870057065322424,0.6878558345437316
0.6894998832028165,0.6903070207896886
0.6918624026287106,0.6926255611548632
0.694095350365012,0.6948129593714845
0.6961994041491599,0.6968774269562394
0.6981820503623748,0.6988192728362841
0.7000429440904734,0.700639061061326
0.7017834218293446,0.7023403429298469
0.7034092741704047,0.7039304999210954
0.7049300253897037,0.7054147710754646
0.7063429793297324,0.7067947611705826
0.7076499616113169,0.7080633902147901
0.708851416512488,0.7092329940605555
0.7099612141546923,0.7103142081907079
0.7109839305395476,0.7113088453826273
0.7119211492503128,0.7122122126955828
0.7127608618449598,0.7130233061864899
0.7135171118817505,0.7137541352591952
0.7142017556012865,0.7144150792651647
0.7148197809336214,0.7150107265145642
0.7153610031715822,0.7155250765530863
0.7158255038545789,0.7159667035024981
